Hora,Tamanho,Referencia,NumAmostra,Area,Delta,Output1,Output2
18:01:12,53,52,59,47,32,1,0
18:01:14,53,52,75,67,38,1,0
18:01:16,53,52,63,60,41,1,0
18:01:18,53,52,74,63,43,1,0
18:01:20,53,53,65,52,35,1,0
18:01:25,53,53,72,76,52,1,0
18:01:29,53,53,67,61,44,1,0
18:01:31,53,53,70,62,42,1,0
18:01:33,53,53,75,62,36,1,0
18:01:36,53,53,75,65,37,1,0
18:01:38,53,53,63,66,53,1,0
18:01:40,53,53,52,53,55,1,0
18:01:43,53,53,64,46,30,1,0
18:01:45,53,53,54,42,35,1,0
18:01:48,53,53,120,95,36,1,0
18:01:50,53,53,65,55,41,1,0
18:01:52,53,53,55,55,52,1,0
18:01:56,53,53,49,49,47,1,0
18:01:59,53,54,69,77,59,1,0
18:02:01,53,54,67,58,43,1,0
18:02:03,53,54,83,75,37,1,0
18:02:06,53,54,71,63,47,1,0
18:02:08,53,54,73,61,43,1,0
18:02:10,53,54,58,51,38,1,0
18:02:12,53,54,68,58,43,1,0
18:02:15,53,54,66,64,49,1,0
18:02:17,53,55,52,57,54,1,0
18:02:20,53,55,64,52,39,1,0
18:02:22,53,55,62,64,56,1,0
18:02:25,53,56,51,66,73,1,0
18:02:27,53,56,60,62,47,1,0
18:02:29,53,56,31,35,55,1,0
18:02:33,53,57,49,50,47,1,0
18:05:39,53,64,88,98,76,0,1
18:05:44,53,64,50,44,35,0,1
18:05:45,53,64,41,44,49,0,1
18:05:52,53,64,49,43,38,0,1
18:05:53,53,64,42,42,47,0,1
18:05:55,53,64,58,149,130,0,1
18:05:59,53,64,54,57,48,0,1
18:05:59,53,64,47,41,42,0,1
18:06:02,53,64,100,107,53,0,1
18:06:07,53,64,43,52,59,0,1
18:06:12,53,64,36,75,117,0,1
18:06:14,53,64,40,39,45,0,1
18:06:21,53,64,53,52,43,0,1
18:06:24,53,64,51,58,56,0,1
18:06:27,53,64,101,114,84,0,1
18:06:34,53,64,70,94,61,0,1
18:06:39,53,64,59,58,43,0,1
18:06:44,53,64,92,94,50,0,1
18:06:48,53,64,50,47,39,0,1
18:06:53,53,64,49,59,60,0,1
18:06:57,53,64,54,57,45,0,1
18:07:01,53,64,54,93,80,0,1
18:07:08,53,64,88,82,44,0,1
18:07:12,53,64,43,38,38,0,1
18:07:15,53,64,53,48,39,0,1
18:07:17,53,64,44,46,43,0,1
18:07:19,53,64,61,129,110,0,1
18:07:26,53,64,70,183,237,0,1
18:07:29,53,64,52,49,45,0,1
18:07:31,53,64,42,46,52,0,1
18:07:35,53,64,44,44,45,0,1
18:07:38,53,64,42,44,46,0,1
18:07:42,53,64,101,117,65,0,1
18:07:47,53,64,95,91,52,0,1
18:07:50,53,64,45,43,38,0,1
18:07:52,53,64,110,98,40,0,1
18:07:57,53,64,48,52,52,0,1
18:07:59,53,64,78,126,130,0,1
18:08:00,53,64,68,72,199,0,1
18:08:05,53,64,64,121,121,0,1
18:08:09,53,64,47,46,42,0,1
18:08:12,53,64,59,92,76,0,1
18:08:17,53,64,53,85,251,0,1
18:08:21,53,64,54,59,49,0,1
18:08:23,53,64,91,92,51,0,1
18:08:27,53,64,70,96,64,0,1
18:08:30,53,64,59,166,144,0,1
18:08:33,53,64,54,53,43,0,1
18:08:36,53,64,51,52,45,0,1
18:08:39,53,64,85,110,75,0,1
18:08:41,53,64,82,88,61,0,1
18:08:44,53,64,47,46,46,0,1
18:08:46,53,64,50,45,36,0,1
18:08:51,53,64,77,106,122,0,1
18:08:57,53,64,94,97,70,0,1
18:09:01,53,64,76,134,161,0,1
18:09:05,53,64,61,123,175,0,1
18:09:07,53,64,52,53,44,0,1
18:09:10,53,64,61,125,100,0,1
18:09:12,53,64,53,51,41,0,1
18:09:16,53,64,53,53,43,0,1
18:09:20,53,64,50,43,34,0,1
18:09:25,53,64,98,103,56,0,1
18:09:28,53,64,59,54,40,0,1
18:09:31,53,64,64,167,155,0,1
18:09:34,53,64,100,88,40,0,1
18:09:39,53,64,67,64,44,0,1
18:09:42,53,64,62,71,55,0,1
18:09:45,53,64,62,124,166,0,1
18:09:48,53,64,50,45,36,0,1
18:09:53,53,64,64,123,116,0,1
18:09:55,53,64,47,44,43,0,1
18:10:00,53,64,62,38,47,0,1
18:10:04,53,64,45,37,33,0,1
18:10:05,64,55,62,52,53,0,1
18:10:08,53,64,95,87,42,0,1
18:10:12,53,64,52,31,96,0,1
18:10:15,53,64,81,99,84,0,1
18:10:16,53,64,58,136,155,0,1
18:10:22,53,64,53,59,52,0,1
18:10:25,53,64,58,60,48,0,1
18:10:28,53,64,53,56,50,0,1
18:10:34,53,64,98,114,57,0,1
18:10:37,53,64,60,63,46,0,1
18:10:39,53,64,51,51,44,0,1
18:10:42,53,64,65,104,91,0,1
18:10:46,53,64,55,59,47,0,1
18:10:49,53,64,57,69,87,0,1
18:10:51,53,64,60,68,51,0,1
18:10:58,53,64,43,50,62,0,1
18:11:02,53,64,63,64,25,0,1
18:11:03,53,64,106,98,42,0,1
18:11:07,53,64,60,173,159,0,1
18:11:09,53,64,48,48,47,0,1
18:11:12,53,64,43,41,43,0,1
18:11:14,53,64,46,52,49,0,1
18:11:18,53,64,50,43,35,0,1
18:11:20,53,64,56,199,135,0,1
18:11:23,53,64,47,40,36,0,1
18:11:26,53,64,57,55,41,0,1
18:11:29,53,64,59,24,157,0,1
18:11:33,53,64,58,132,144,0,1
18:11:35,53,64,57,55,206,0,1
18:11:39,53,64,53,46,37,0,1
18:11:41,53,64,53,52,48,0,1
18:11:42,64,51,49,42,53,0,1
18:11:43,53,64,41,40,46,0,1
18:11:47,53,64,59,146,183,0,1
18:11:52,53,64,63,105,74,0,1
18:11:56,53,64,50,53,50,0,1
18:12:02,53,64,15,9,24,0,1
18:12:05,53,64,18,11,24,0,1
18:12:08,53,64,56,44,32,0,1
18:12:11,53,64,43,57,71,0,1
18:12:14,53,64,45,32,29,0,1
18:12:17,53,64,54,50,40,0,1
18:12:20,53,64,45,44,53,0,1
18:12:23,53,64,45,33,30,0,1
18:12:26,53,64,45,43,50,0,1
18:12:29,53,64,49,40,39,0,1
18:12:32,53,64,81,61,31,0,1
18:12:35,53,64,50,42,36,0,1
18:12:38,53,64,48,41,37,0,1
18:12:41,53,64,45,38,40,0,1
18:12:44,53,64,52,45,39,0,1
18:12:47,53,64,45,52,55,0,1
18:12:50,53,64,53,54,52,0,1
18:12:53,53,64,55,53,44,0,1
18:12:56,53,64,50,41,36,0,1
18:12:59,53,64,8,74,20,0,1
18:13:02,53,64,48,35,29,0,1
18:13:05,53,64,73,65,46,0,1
18:13:08,53,64,48,39,36,0,1
18:13:11,53,64,40,34,42,0,1
18:13:14,53,64,50,36,32,0,1
18:13:17,53,64,54,57,47,0,1
18:13:20,53,64,19,13,28,0,1
18:13:23,53,64,11,6,21,0,1
18:13:26,53,64,55,58,48,0,1
18:13:29,53,64,51,40,35,0,1
18:13:32,53,64,93,85,44,0,1
18:13:35,53,64,48,35,31,0,1
18:13:38,53,64,73,61,40,0,1
18:13:41,53,64,33,40,57,0,1
18:13:44,53,64,18,14,32,0,1
18:13:47,53,64,14,9,26,0,1
18:13:50,53,64,52,43,40,0,1
18:13:53,53,64,51,49,52,0,1
18:13:56,53,64,59,56,40,0,1
18:13:59,53,64,51,56,47,0,1
18:13:12,53,64,50,46,42,0,1
18:13:15,53,64,45,40,37,0,1
18:13:18,53,64,32,34,56,0,1
18:13:21,53,64,48,41,38,0,1
18:13:24,53,64,34,31,44,0,1
18:13:27,53,64,43,32,31,0,1
18:13:30,53,64,61,41,31,0,1
18:13:33,53,64,3,201,17,0,1
18:13:36,53,64,75,82,54,0,1
18:13:39,53,64,22,14,25,0,1
18:13:42,64,44,33,32,38,0,1
18:13:45,53,64,45,36,32,0,1
18:13:48,53,64,45,41,42,0,1
